epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.679,3.52009,4.93677,4.18399,0.00116,0.211,0.00142,0.00054,3.26616,5.20055,4.12614,0.000363836,0.000363836,0.000363836
2,269.989,3.52191,4.72666,4.08049,0.00208,0.16286,0.00219,0.00048,3.3201,4.91202,3.74301,0.000719633,0.000719633,0.000719633
3,402.286,3.48773,4.53456,3.82308,0.75527,0.00342,0.00064,0.0002,3.37344,9.82045,4.11177,0.00106076,0.00106076,0.00106076
4,531.248,3.53575,4.46263,3.65389,0.00067,0.23174,0.0007,0.00021,3.26673,5.00832,3.49291,0.00104501,0.00104501,0.00104501
5,659.741,3.48669,4.41018,3.53621,0.00074,0.20719,0.00079,0.0002,3.21134,4.98421,3.4971,0.00102301,0.00102301,0.00102301
6,789.674,3.46164,4.3288,3.42349,0.00076,0.17256,0.001,0.00028,3.17594,5.00039,3.36932,0.00100101,0.00100101,0.00100101
7,918.989,3.42189,4.3375,3.39085,0.0008,0.26275,0.00477,0.00137,3.19593,4.59435,3.36753,0.000979013,0.000979013,0.000979013
8,1055.47,3.34098,4.30289,3.31705,0.00069,0.16533,0.00208,0.00055,3.02975,4.64448,3.3109,0.000957015,0.000957015,0.000957015
9,1184.28,3.34805,4.22242,3.26554,0.00157,0.22179,0.00498,0.00109,3.10701,4.99325,3.29236,0.000935018,0.000935018,0.000935018
10,1306.1,3.33153,4.23206,3.23862,0.00176,0.2512,0.00581,0.00173,3.11679,4.67118,3.28383,0.00091302,0.00091302,0.00091302
11,1432.77,3.28818,4.19614,3.23719,0.00194,0.25732,0.0049,0.00161,3.10059,4.77367,3.28571,0.000891022,0.000891022,0.000891022
12,1563,3.24779,4.2002,3.24064,0.00483,0.28726,0.00475,0.00121,2.99405,4.47604,3.25823,0.000869024,0.000869024,0.000869024
13,1692.95,3.1546,4.18091,3.21825,0.00198,0.32487,0.00784,0.00186,3.01436,4.42,3.23767,0.000847026,0.000847026,0.000847026
